ts,camera,dur_2k,dur_7k,dur_diff,dur_match,ahash_dist,frame_match,path_2k,path_7k,ride_dir_2k,note
20240418101433,front,1287.666999,1287.7,0.03300100000001294,True,0,True,../frodobots/frodobots_data/output_rides_15/ride_32282_20240418101433/recordings/9ece6816c04595c9dc6280b2a48f6417_ride_32282__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_e9ebea_20240418101433_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32282_20240418101433,
20240418104901,front,375.466,375.5,0.033999999999991815,True,3,True,../frodobots/frodobots_data/output_rides_15/ride_32302_20240418104901/recordings/82795e38014278f91e83d9b1bcc5547f_ride_32302__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_e9ebea_20240418104901_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32302_20240418104901,
20240418103615,front,444.866,444.9,0.033999999999991815,True,0,True,../frodobots/frodobots_data/output_rides_15/ride_32295_20240418103615/recordings/334ef3e1964c5a843e06dab9b9e0234a_ride_32295__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_dfac7a_20240418103615_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32295_20240418103615,
20240418104511,front,464.016,464.05,0.033999999999991815,True,1,True,../frodobots/frodobots_data/output_rides_15/ride_32299_20240418104511/recordings/5d24ecef96406c074ab0679ece81c5ab_ride_32299__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_dfac7a_20240418104511_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32299_20240418104511,
20240418103858,front,449.716,449.75,0.033999999999991815,True,2,True,../frodobots/frodobots_data/output_rides_15/ride_32296_20240418103858/recordings/01b7bbfc054936253b7350ac402dadd6_ride_32296__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240418103858_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32296_20240418103858,
20240418101409,front,142.516,142.55,0.034000000000020236,True,1,True,../frodobots/frodobots_data/output_rides_15/ride_32281_20240418101409/recordings/e39404e78947c6feb97299976c4fd3fb_ride_32281__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_470131_20240418101409_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32281_20240418101409,
20240418105707,front,333.966,334.0,0.033999999999991815,True,2,True,../frodobots/frodobots_data/output_rides_15/ride_32305_20240418105707/recordings/ee84b99f1242f54533448c8884839840_ride_32305__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240418105707_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32305_20240418105707,
20240418111624,front,460.666,460.7,0.033999999999991815,True,2,True,../frodobots/frodobots_data/output_rides_15/ride_32318_20240418111624/recordings/55dec1a65a4c20753c8535944211387f_ride_32318__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_470131_20240418111624_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32318_20240418111624,
20240418110339,front,8.766,8.8,0.034000000000000696,True,0,True,../frodobots/frodobots_data/output_rides_15/ride_32310_20240418110339/recordings/40804374984bc9543dc894af305e4780_ride_32310__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_dfac7a_20240418110339_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32310_20240418110339,
20240418110246,front,45.866,45.9,0.03399999999999892,True,0,True,../frodobots/frodobots_data/output_rides_15/ride_32309_20240418110246/recordings/c134620f6842a8b83db205ab732d13ed_ride_32309__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_dfac7a_20240418110246_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32309_20240418110246,
