ride_idx,ride_id,ride_ts,start_row,end_row,num_rows,path
14015,ride_40c2f4_20240708023824,20240708023824,70918964,70924675,5711,videos/ride_40c2f4_20240708023824_front_camera.mp4
14016,ride_ea1a8e_20240710000306,20240710000306,70924675,70928006,3331,videos/ride_ea1a8e_20240710000306_front_camera.mp4
14017,ride_84808b_20240710082717,20240710082717,70928006,70934597,6591,videos/ride_84808b_20240710082717_front_camera.mp4
14018,ride_36cc7a_20240710123844,20240710123844,70934597,70940064,5467,videos/ride_36cc7a_20240710123844_front_camera.mp4
14019,ride_63f508_20240707051436,20240707051436,70940064,70947441,7377,videos/ride_63f508_20240707051436_front_camera.mp4
14020,ride_40c2f4_20240707030204,20240707030204,70947441,70952110,4669,videos/ride_40c2f4_20240707030204_front_camera.mp4
14021,ride_63f508_20240707013339,20240707013339,70952110,70957721,5611,videos/ride_63f508_20240707013339_front_camera.mp4
14022,ride_ea1a8e_20240709230945,20240709230945,70957721,70963626,5905,videos/ride_ea1a8e_20240709230945_front_camera.mp4
14023,ride_d7d93b_20240707085730,20240707085730,70963626,70968952,5326,videos/ride_d7d93b_20240707085730_front_camera.mp4
14024,ride_1d8d5a_20240709111016,20240709111016,70968952,70973868,4916,videos/ride_1d8d5a_20240709111016_front_camera.mp4
14025,ride_d7d93b_20240709005323,20240709005323,70973868,70978891,5023,videos/ride_d7d93b_20240709005323_front_camera.mp4
14026,ride_926131_20240706154249,20240706154249,70978891,70990442,11551,videos/ride_926131_20240706154249_front_camera.mp4
14027,ride_ed45be_20240709222657,20240709222657,70990442,70993576,3134,videos/ride_ed45be_20240709222657_front_camera.mp4
14028,ride_40c2f4_20240707031245,20240707031245,70993576,70998150,4574,videos/ride_40c2f4_20240707031245_front_camera.mp4
14029,ride_84808b_20240708104311,20240708104311,70998150,70998570,420,videos/ride_84808b_20240708104311_front_camera.mp4
14030,ride_40c2f4_20240708004346,20240708004346,70998570,71003136,4566,videos/ride_40c2f4_20240708004346_front_camera.mp4
14031,ride_63f508_20240707080421,20240707080421,71003136,71010220,7084,videos/ride_63f508_20240707080421_front_camera.mp4
14032,ride_80fb8a_20240708141400,20240708141400,71010220,71028824,18604,videos/ride_80fb8a_20240708141400_front_camera.mp4
14033,ride_d7d93b_20240709045341,20240709045341,71028824,71035901,7077,videos/ride_d7d93b_20240709045341_front_camera.mp4
14034,ride_926131_20240708065054,20240708065054,71035901,71038180,2279,videos/ride_926131_20240708065054_front_camera.mp4
14035,ride_3908a7_20240709030820,20240709030820,71038180,71045230,7050,videos/ride_3908a7_20240709030820_front_camera.mp4
14036,ride_1d8d5a_20240709082756,20240709082756,71045230,71052012,6782,videos/ride_1d8d5a_20240709082756_front_camera.mp4
