uid,model,scene,n,fps,ctx,flag,n_events,score,cls,birth,birth_s,branch,onset,zprobe,bncc,box
ours_pca2_r11_BL,ours_pca2,r11_BL,108,16.0,12,0,0,,,,,,,,,
ours_16node_r11_BL,ours_16node,r11_BL,108,16.0,12,0,0,,,,,,,,,
ours_4node_r11_BL,ours_4node,r11_BL,108,16.0,12,0,0,,,,,,,,,
ours_noatok_r11_BL,ours_noatok,r11_BL,108,16.0,12,0,0,,,,,,,,,
ours_noadaln_r11_BL,ours_noadaln,r11_BL,108,16.0,12,0,0,,,,,,,,,
astra_r11_BR,astra,r11_BR,125,20.0,4,0,0,,,,,,,,,
matrixgame_r11_BR,matrixgame,r11_BR,152,25.0,1,0,0,,,,,,,,,
minwm_r11_BR,minwm,r11_BR,77,16.0,13,1,2,0.43,truck,13.0,0.0,A,8.73,0.25,0.37,"[383.1, 251.4, 485.0, 331.2]"
worldcam_r11_BR,worldcam,r11_BR,241,30.0,65,0,0,-0.33,car,230.0,5.5,A,3.33,0.56,0.66,"[549.9, 244.0, 597.2, 266.5]"
worldplay_r11_BR,worldplay,r11_BR,146,24.0,1,0,0,,,,,,,,,
yume_r11_BR,yume,r11_BR,98,16.0,1,0,0,,,,,,,,,
ours_pca8_r11_BR,ours_pca8,r11_BR,108,16.0,12,0,0,,,,,,,,,
ours_pca4_r11_BR,ours_pca4,r11_BR,108,16.0,12,0,0,,,,,,,,,
ours_pca2_r11_BR,ours_pca2,r11_BR,108,16.0,12,0,0,,,,,,,,,
ours_16node_r11_BR,ours_16node,r11_BR,108,16.0,12,0,0,,,,,,,,,
ours_4node_r11_BR,ours_4node,r11_BR,108,16.0,12,0,0,,,,,,,,,
ours_noatok_r11_BR,ours_noatok,r11_BR,108,16.0,12,0,0,,,,,,,,,
ours_noadaln_r11_BR,ours_noadaln,r11_BR,108,16.0,12,0,0,,,,,,,,,
astra_r11_F,astra,r11_F,125,20.0,4,0,0,,,,,,,,,
matrixgame_r11_F,matrixgame,r11_F,152,25.0,1,0,0,,,,,,,,,
minwm_r11_F,minwm,r11_F,77,16.0,13,1,1,0.46,car,13.0,0.0,B,10.25,0.22,0.47,"[397.0, 246.6, 483.0, 332.7]"
worldcam_r11_F,worldcam,r11_F,241,30.0,65,0,0,,,,,,,,,
worldplay_r11_F,worldplay,r11_F,146,24.0,1,0,0,,,,,,,,,
yume_r11_F,yume,r11_F,98,16.0,1,0,0,-0.54,car,10.0,0.56,A,2.32,0.22,0.48,"[718.9, 369.3, 775.3, 396.6]"
ours_pca8_r11_F,ours_pca8,r11_F,108,16.0,12,0,0,,,,,,,,,
ours_pca4_r11_F,ours_pca4,r11_F,108,16.0,12,0,0,,,,,,,,,
ours_pca2_r11_F,ours_pca2,r11_F,108,16.0,12,0,0,,,,,,,,,
ours_16node_r11_F,ours_16node,r11_F,108,16.0,12,0,0,,,,,,,,,
ours_4node_r11_F,ours_4node,r11_F,108,16.0,12,0,0,,,,,,,,,
ours_noatok_r11_F,ours_noatok,r11_F,108,16.0,12,0,0,,,,,,,,,
ours_noadaln_r11_F,ours_noadaln,r11_F,108,16.0,12,0,0,,,,,,,,,
astra_r11_FL,astra,r11_FL,125,20.0,4,0,0,,,,,,,,,
