model,window,dir,recession,rot,tx,g0,g1,g2,g3,g4,g5,g6,g7
pca8_8node,13,FR,-16.51,3.79,-288.6,0.3678,0.5469,-0.0289,-0.1454,0.389,0.2019,-0.3622,-0.1854
pca8_8node,13,R,-14.32,-0.62,-570.5,0.0595,0.6871,0.4469,0.3884,0.097,-0.0353,-0.2802,0.0702
pca8_8node,13,BR,9.85,-1.24,-424.4,-0.1651,0.5638,0.4737,0.4936,-0.2081,0.0412,0.0447,-0.028
pca8_8node,13,B,17.78,0.72,39.5,-0.1815,-0.0003,0.1357,0.0864,-0.0934,0.0938,-0.0765,-0.0589
pca8_8node,13,BL,21.8,2.45,265.7,-0.2022,-0.3218,0.2535,-0.1493,-0.1184,0.2239,-0.0517,-0.1077
pca8_8node,13,L,9.47,6.07,639.9,-0.0412,-0.7426,-0.4173,-0.5323,0.3407,-0.2787,0.2525,-0.0035
pca8_8node,13,FL,-16.27,1.34,78.3,0.3235,-0.2709,-0.0242,-0.1236,-0.1013,-0.0699,0.0971,-0.1295
pca8_8node,14,F,-39.65,-0.08,-109.1,0.5778,0.0302,-0.5918,0.1838,-0.0705,-0.3794,0.1099,-0.0318
pca8_8node,14,FR,-59.24,4.45,-364.2,0.3815,0.5411,-0.6616,0.0424,0.1669,0.0025,0.1018,0.1853
pca8_8node,14,R,-39.73,11.4,-487.8,0.1167,0.6851,-0.1868,0.3715,-0.0406,-0.1196,0.0898,0.0494
pca8_8node,14,BR,2.78,10.91,-317.1,-0.1174,0.5428,0.3651,0.3249,-0.1202,-0.0649,0.1166,0.1426
pca8_8node,14,B,37.86,0.52,131.1,-0.1843,0.0262,0.3198,-0.2698,-0.2469,0.3052,-0.1435,-0.2016
pca8_8node,14,BL,59.03,-3.16,481.6,-0.2187,-0.2529,0.31,-0.5035,-0.3511,0.3845,-0.1867,-0.2605
pca8_8node,14,L,10.25,2.47,482.9,0.0407,-0.6719,-0.2259,-0.2551,0.1942,0.0019,0.0013,-0.1563
pca8_8node,14,FL,-92.24,6.32,-34.8,0.5103,-0.4383,-0.4935,0.3619,0.095,-0.3266,0.2542,-0.0288
pca8_8node,15,F,-74.5,3.12,-199.7,0.529,-0.0144,-0.0123,0.4049,-0.2853,-0.4408,0.0474,0.2599
pca8_8node,15,FR,-73.96,5.82,-431.9,0.4762,0.577,-0.1657,0.1438,-0.077,-0.5664,-0.28,0.2227
pca8_8node,15,R,-15.99,-4.02,-473.0,0.0832,0.6703,0.1109,0.4346,0.1287,-0.3669,0.1393,0.119
pca8_8node,15,BR,30.76,4.29,-148.0,-0.1972,0.4124,0.4684,-0.0199,-0.2186,0.2929,-0.0491,-0.0779
pca8_8node,15,B,32.04,1.53,69.3,-0.1878,0.0681,0.2963,-0.2268,-0.1561,0.3115,-0.0002,-0.1032
pca8_8node,15,BL,48.15,-0.01,357.1,-0.2232,-0.2533,0.2929,-0.4549,-0.2395,0.4565,-0.0185,-0.1507
pca8_8node,15,L,6.05,-1.55,461.9,0.0467,-0.6612,-0.318,-0.1998,0.2839,-0.1638,0.0567,-0.0998
pca8_8node,15,FL,-51.3,-3.71,-41.6,0.3885,-0.315,-0.0545,0.3622,-0.158,-0.2944,-0.045,0.1108
pca8_8node,16,F,-31.35,-0.84,-86.3,0.3973,0.0263,0.1901,-0.3355,0.5005,-0.2623,0.1422,-0.0647
pca8_8node,16,FR,-50.87,2.26,-333.5,0.4554,0.481,0.3837,-0.2624,0.6421,-0.3216,-0.2088,-0.1488
pca8_8node,16,R,-48.44,6.57,-656.4,0.1053,0.6608,0.6203,0.6854,0.0989,-0.2816,0.1476,0.0847
pca8_8node,16,BR,-5.21,8.69,-343.0,-0.1399,0.4399,0.4542,0.515,-0.4305,0.1527,0.0899,0.0303
pca8_8node,16,B,26.91,0.18,82.5,-0.1785,0.0068,0.2302,-0.0226,-0.47,0.2236,-0.0213,-0.1148
pca8_8node,16,BL,28.68,-2.19,287.9,-0.1772,-0.2708,0.0987,-0.2207,-0.4188,0.1481,0.0309,-0.0999
pca8_8node,16,L,1.9,-5.44,440.2,-0.0578,-0.636,-0.3727,-0.4336,0.2576,-0.2345,0.1883,-0.0734
pca8_8node,16,FL,-32.04,-1.24,16.6,0.4852,-0.3494,0.3047,-0.176,0.5124,-0.3213,0.3435,-0.1071
pca8_8node,17,F,-108.2,-2.83,-334.1,0.1271,0.1168,-0.482,0.4712,0.6629,-0.5608,0.2851,0.1352
pca8_8node,17,FR,-81.29,3.03,-393.5,0.158,0.3829,-0.3282,0.652,0.4098,-0.5256,0.3497,0.4301
pca8_8node,17,R,-16.27,13.04,-406.9,-0.0149,0.5245,0.5113,0.7399,-0.0425,-0.3556,0.5271,0.2056
pca8_8node,17,BR,6.28,14.87,-283.7,-0.0481,0.5008,0.446,0.5009,-0.2436,-0.0846,0.4974,0.153
pca8_8node,17,B,25.68,-0.57,83.8,-0.0537,-0.014,0.1125,-0.1959,-0.3312,0.2392,-0.1001,-0.1918
pca8_8node,17,BL,55.85,1.28,451.1,-0.1386,-0.2996,0.345,-0.5686,-0.4933,0.4982,-0.3768,-0.2949
