scene,model,dino_drift
r05_B,ours_noadaln,0.1849
r05_BL,astra,0.344
r05_BL,matrixgame,0.8483
r05_BL,minwm,0.2389
r05_BL,worldcam,0.7241
r05_BL,worldplay,0.5717
r05_BL,yume,0.2351
r05_BL,ours_pca8,0.2364
r05_BL,ours_pca4,0.2807
r05_BL,ours_pca2,0.5022
r05_BL,ours_16node,0.3674
r05_BL,ours_4node,0.4522
r05_BL,ours_noatok,0.3179
r05_BL,ours_noadaln,0.1997
r05_BR,astra,0.662
r05_BR,matrixgame,0.7403
r05_BR,minwm,0.293
r05_BR,worldcam,0.6898
r05_BR,worldplay,0.6538
r05_BR,yume,0.6157
r05_BR,ours_pca8,0.473
r05_BR,ours_pca4,0.5552
r05_BR,ours_pca2,0.4499
r05_BR,ours_16node,0.3807
r05_BR,ours_4node,0.4346
r05_BR,ours_noatok,0.4656
r05_BR,ours_noadaln,0.3889
r05_F,astra,0.2745
r05_F,matrixgame,0.5624
r05_F,minwm,0.2109
r05_F,worldcam,0.3748
r05_F,worldplay,0.3606
r05_F,yume,0.2396
r05_F,ours_pca8,0.1794
r05_F,ours_pca4,0.227
r05_F,ours_pca2,0.1887
r05_F,ours_16node,0.1848
r05_F,ours_4node,0.1896
r05_F,ours_noatok,0.1803
r05_F,ours_noadaln,0.1956
r05_FL,astra,0.456
r05_FL,matrixgame,0.7775
r05_FL,minwm,0.3147
r05_FL,worldcam,0.7166
r05_FL,worldplay,0.4633
r05_FL,yume,0.2825
r05_FL,ours_pca8,0.3378
r05_FL,ours_pca4,0.3465
r05_FL,ours_pca2,0.4251
r05_FL,ours_16node,0.4021
r05_FL,ours_4node,0.4169
r05_FL,ours_noatok,0.4351
r05_FL,ours_noadaln,0.1902
r05_FR,astra,0.7667
r05_FR,matrixgame,0.9243
r05_FR,minwm,0.2549
r05_FR,worldcam,0.6713
r05_FR,worldplay,0.5657
r05_FR,yume,0.4838
r05_FR,ours_pca8,0.347
r05_FR,ours_pca4,0.4315
r05_FR,ours_pca2,0.3354
r05_FR,ours_16node,0.3411
r05_FR,ours_4node,0.3899
r05_FR,ours_noatok,0.3202
r05_FR,ours_noadaln,0.2511
r05_L,astra,0.5449
r05_L,matrixgame,1.05
r05_L,minwm,0.2337
r05_L,worldcam,0.74
r05_L,worldplay,0.4682
r05_L,yume,0.222
r05_L,ours_pca8,0.5275
r05_L,ours_pca4,0.3777
r05_L,ours_pca2,0.5597
r05_L,ours_16node,0.3935
r05_L,ours_4node,0.5117
r05_L,ours_noatok,0.4853
r05_L,ours_noadaln,0.1954
r05_R,astra,0.6633
r05_R,matrixgame,0.817
r05_R,minwm,0.2728
r05_R,worldcam,0.6767
r05_R,worldplay,0.6124
r05_R,yume,0.269
r05_R,ours_pca8,0.484
r05_R,ours_pca4,0.5696
r05_R,ours_pca2,0.4391
r05_R,ours_16node,0.43
r05_R,ours_4node,0.4598
r05_R,ours_noatok,0.4766
r05_R,ours_noadaln,0.3228
r06_B,astra,0.2975
r06_B,matrixgame,0.5335
r06_B,minwm,0.5149
r06_B,worldcam,0.3378
r06_B,worldplay,0.3135
r06_B,yume,0.3624
r06_B,ours_pca8,0.2855
r06_B,ours_pca4,0.3343
r06_B,ours_pca2,0.3812
r06_B,ours_16node,0.3017
r06_B,ours_4node,0.2362
r06_B,ours_noatok,0.3768
r06_B,ours_noadaln,0.1835
r06_BL,astra,0.6737
r06_BL,matrixgame,0.8182
r06_BL,minwm,0.389
r06_BL,worldcam,0.6518
r06_BL,worldplay,0.6845
r06_BL,yume,0.615
r06_BL,ours_pca8,0.5793
r06_BL,ours_pca4,0.4928
r06_BL,ours_pca2,0.7249
r06_BL,ours_16node,0.3651
r06_BL,ours_4node,0.6349
r06_BL,ours_noatok,0.5121
r06_BL,ours_noadaln,0.1714
r06_BR,astra,0.7091
r06_BR,matrixgame,0.8216
r06_BR,minwm,0.4417
r06_BR,worldcam,0.7399
r06_BR,worldplay,0.5763
r06_BR,yume,0.5246
r06_BR,ours_pca8,0.3766
r06_BR,ours_pca4,0.4345
r06_BR,ours_pca2,0.374
r06_BR,ours_16node,0.2761
r06_BR,ours_4node,0.338
r06_BR,ours_noatok,0.4251
r06_BR,ours_noadaln,0.37
r06_F,astra,0.5239
r06_F,matrixgame,0.6722
r06_F,minwm,0.6524
r06_F,worldcam,0.627
r06_F,worldplay,0.3288
r06_F,yume,0.3574
r06_F,ours_pca8,0.4246
r06_F,ours_pca4,0.38
r06_F,ours_pca2,0.2889
r06_F,ours_16node,0.3631
r06_F,ours_4node,0.3245
r06_F,ours_noatok,0.423
r06_F,ours_noadaln,0.1856
r06_FL,astra,0.7391
r06_FL,matrixgame,0.7501
r06_FL,minwm,0.5275
r06_FL,worldcam,0.6924
r06_FL,worldplay,0.8942
r06_FL,yume,0.5604
r06_FL,ours_pca8,0.6192
r06_FL,ours_pca4,0.5878
r06_FL,ours_pca2,0.7121
r06_FL,ours_16node,0.5162
r06_FL,ours_4node,0.627
r06_FL,ours_noatok,0.5529
