scene,model,base_blur,end_blur,d_blur,x_blur,B
r03_B,ours_noatok,1807.8,1021.6,-786.2,-474.90000000000003,474.90000000000003
r03_B,ours_noadaln,1692.5,1389.3,-303.2,8.100000000000023,-8.100000000000023
r03_BL,astra,1298.5,1660.2,361.7,850.5,-850.5
r03_BL,matrixgame,166.6,0.0,-166.6,322.20000000000005,-322.20000000000005
r03_BL,minwm,871.9,674.7,-197.2,291.6,-291.6
r03_BL,worldcam,1036.6,374.8,-661.8,-172.99999999999994,172.99999999999994
r03_BL,worldplay,1269.4,1186.7,-82.6,406.20000000000005,-406.20000000000005
r03_BL,yume,1300.7,811.9,-488.8,0.0,-0.0
r03_BL,ours_pca8,1374.9,768.7,-606.2,-117.40000000000003,117.40000000000003
r03_BL,ours_pca4,1673.3,1068.3,-605.0,-116.19999999999999,116.19999999999999
r03_BL,ours_pca2,1341.3,784.2,-557.1,-68.30000000000001,68.30000000000001
r03_BL,ours_16node,1461.6,1361.6,-100.0,388.8,-388.8
r03_BL,ours_4node,906.5,256.9,-649.5,-160.7,160.7
r03_BL,ours_noatok,1344.1,749.5,-594.6,-105.80000000000001,105.80000000000001
r03_BL,ours_noadaln,1691.1,1244.2,-446.9,41.900000000000034,-41.900000000000034
r03_BR,astra,1191.4,697.2,-494.2,-127.80000000000001,127.80000000000001
r03_BR,matrixgame,51.1,0.0,-51.1,315.29999999999995,-315.29999999999995
r03_BR,minwm,582.7,437.7,-145.0,221.39999999999998,-221.39999999999998
r03_BR,worldcam,601.7,133.6,-468.1,-101.70000000000005,101.70000000000005
r03_BR,worldplay,1169.3,1054.5,-114.8,251.59999999999997,-251.59999999999997
r03_BR,yume,459.7,93.3,-366.4,0.0,-0.0
r03_BR,ours_pca8,1790.8,1543.1,-247.7,118.69999999999999,-118.69999999999999
r03_BR,ours_pca4,1762.2,1791.8,29.6,396.0,-396.0
r03_BR,ours_pca2,1497.8,1231.0,-266.8,99.59999999999997,-99.59999999999997
r03_BR,ours_16node,1589.1,1096.2,-492.8,-126.40000000000003,126.40000000000003
r03_BR,ours_4node,1631.0,675.6,-955.4,-589.0,589.0
r03_BR,ours_noatok,1769.5,815.0,-954.5,-588.1,588.1
r03_BR,ours_noadaln,797.0,316.8,-480.2,-113.80000000000001,113.80000000000001
r03_F,astra,1536.8,2875.1,1338.3,1332.8999999999999,-1332.8999999999999
r03_F,matrixgame,591.3,558.4,-32.9,-38.3,38.3
r03_F,minwm,1052.4,1099.5,47.1,41.7,-41.7
r03_F,worldcam,1610.2,921.7,-688.5,-693.9,693.9
r03_F,worldplay,1418.0,1107.2,-310.8,-316.2,316.2
r03_F,yume,488.4,556.2,67.8,62.4,-62.4
r03_F,ours_pca8,1412.7,1434.1,21.4,15.999999999999998,-15.999999999999998
r03_F,ours_pca4,1434.9,1217.2,-217.7,-223.1,223.1
r03_F,ours_pca2,1144.4,802.6,-341.8,-347.2,347.2
r03_F,ours_16node,1742.7,2855.6,1112.8,1107.3999999999999,-1107.3999999999999
r03_F,ours_4node,1232.3,1476.2,243.9,238.5,-238.5
r03_F,ours_noatok,1379.0,1384.4,5.4,0.0,-0.0
r03_F,ours_noadaln,1692.5,1416.5,-276.0,-281.4,281.4
r03_FL,astra,1433.7,1672.2,238.5,655.4,-655.4
r03_FL,matrixgame,552.1,0.0,-552.1,-135.20000000000005,135.20000000000005
r03_FL,minwm,1019.3,924.0,-95.3,321.59999999999997,-321.59999999999997
r03_FL,worldcam,1015.2,257.2,-757.9,-341.0,341.0
r03_FL,worldplay,1088.8,220.3,-868.6,-451.70000000000005,451.70000000000005
r03_FL,yume,176.4,101.1,-75.3,341.59999999999997,-341.59999999999997
r03_FL,ours_pca8,1189.1,1022.2,-166.9,249.99999999999997,-249.99999999999997
r03_FL,ours_pca4,1165.1,525.0,-640.1,-223.20000000000005,223.20000000000005
r03_FL,ours_pca2,1010.3,658.7,-351.6,65.29999999999995,-65.29999999999995
r03_FL,ours_16node,1053.8,636.9,-416.9,0.0,-0.0
r03_FL,ours_4node,981.1,490.4,-490.7,-73.80000000000001,73.80000000000001
r03_FL,ours_noatok,940.0,294.0,-646.0,-229.10000000000002,229.10000000000002
r03_FL,ours_noadaln,1691.0,1424.7,-266.3,150.59999999999997,-150.59999999999997
r03_FR,astra,1153.9,1323.8,169.9,452.20000000000005,-452.20000000000005
r03_FR,matrixgame,149.5,116.7,-32.8,249.5,-249.5
r03_FR,minwm,960.9,674.3,-286.6,-4.300000000000011,4.300000000000011
r03_FR,worldcam,617.1,371.7,-245.4,36.900000000000006,-36.900000000000006
r03_FR,worldplay,821.0,236.7,-584.3,-301.99999999999994,301.99999999999994
r03_FR,yume,73.2,57.1,-16.1,266.2,-266.2
r03_FR,ours_pca8,1143.1,1516.0,372.9,655.2,-655.2
r03_FR,ours_pca4,1496.7,311.1,-1185.6,-903.3,903.3
r03_FR,ours_pca2,1012.8,730.5,-282.3,0.0,-0.0
r03_FR,ours_16node,1417.3,2958.2,1540.9,1823.2,-1823.2
