model,window,dir,recession,rot,tx,g0,g1,g2,g3,g4,g5,g6,g7
yume,24,FL,-16.92,-12.46,400.3,0.9373,-0.9767,-0.3603,0.7617,-0.0363,-0.2445,0.2434,0.7245
yume,25,F,-114.39,-0.29,-481.0,0.6565,-0.0892,-0.4641,0.9415,0.9905,-0.8961,0.8437,0.3618
yume,25,FR,-47.74,-8.37,-2409.6,0.5467,1.0,0.7218,0.8803,0.6027,-0.4454,-0.5383,0.1682
yume,25,R,30.26,-3.51,-832.7,0.1709,0.9794,-0.0351,0.4397,0.3363,-0.1499,-0.7148,0.7265
yume,25,BR,11.69,-7.09,1273.6,0.1095,0.7689,0.7353,0.677,0.3989,-0.4103,-0.8647,0.2192
yume,25,B,0.82,0.07,18.0,-0.0276,-0.0172,0.0061,-0.0148,-0.0156,0.0103,-0.0036,-0.0139
yume,25,BL,21.01,-12.29,1144.7,0.0877,-0.9241,-0.2665,0.0334,0.1815,-0.0275,0.533,-0.2574
yume,25,L,25.59,-0.31,1102.0,0.5469,-0.9884,-0.1273,0.8038,-0.3792,-0.6418,0.9896,-0.4838
yume,25,FL,-272.27,-1.77,768.1,0.6975,-0.9967,-0.8832,-0.1235,0.9377,-0.5507,0.9041,0.6964
yume,26,F,-8.51,-1.2,-18.0,0.8045,-0.0503,-0.507,0.5637,-0.2067,0.0828,0.5442,0.3956
yume,26,FR,37.02,9.6,-507.9,0.8385,0.9887,-0.6762,-0.1155,0.5546,0.2824,-0.9844,0.3611
yume,26,R,12.94,6.44,-586.6,0.0835,0.9365,-0.1795,0.6371,0.3663,-0.4091,-0.0352,0.2009
yume,26,BR,-19.69,16.45,-1466.6,0.613,0.9998,-0.727,0.228,0.945,0.0204,-0.7946,0.4424
yume,26,B,9.47,0.13,81.7,-0.2213,-0.0486,0.1707,-0.1543,0.189,-0.114,-0.2172,-0.3055
yume,26,BL,-7.8,-15.84,1860.6,0.1215,-0.999,-0.628,-0.1276,-0.0039,-0.5929,0.993,-0.7486
