scene,model,static_inl,static
r08_FL,worldplay,15,0
r08_FL,yume,29,0
r08_FL,ours_pca8,262,0
r08_FL,ours_pca4,98,0
r08_FL,ours_pca2,86,0
r08_FL,ours_16node,322,0
r08_FL,ours_4node,123,0
r08_FL,ours_noatok,164,0
r08_FL,ours_noadaln,570,0
r08_FR,astra,131,0
r08_FR,matrixgame,12,0
r08_FR,minwm,306,0
r08_FR,worldcam,13,0
r08_FR,worldplay,10,0
r08_FR,yume,15,0
r08_FR,ours_pca8,179,0
r08_FR,ours_pca4,36,0
r08_FR,ours_pca2,160,0
r08_FR,ours_16node,217,0
r08_FR,ours_4node,58,0
r08_FR,ours_noatok,8,0
r08_FR,ours_noadaln,13,0
r08_L,astra,105,0
r08_L,matrixgame,0,0
r08_L,minwm,382,0
r08_L,worldcam,18,0
