scene,model,static_inl,static
r05_FL,ours_pca8,209,0
r05_FL,ours_pca4,92,0
r05_FL,ours_pca2,113,0
r05_FL,ours_16node,173,0
r05_FL,ours_4node,62,0
r05_FL,ours_noatok,115,0
r05_FL,ours_noadaln,485,0
r05_FR,astra,9,0
r05_FR,matrixgame,15,0
r05_FR,minwm,116,0
r05_FR,worldcam,21,0
r05_FR,worldplay,9,0
r05_FR,yume,26,0
r05_FR,ours_pca8,49,0
r05_FR,ours_pca4,16,0
r05_FR,ours_pca2,113,0
r05_FR,ours_16node,31,0
r05_FR,ours_4node,71,0
r05_FR,ours_noatok,59,0
r05_FR,ours_noadaln,123,0
r05_L,astra,14,0
r05_L,matrixgame,0,0
r05_L,minwm,374,0
r05_L,worldcam,13,0
r05_L,worldplay,9,0
r05_L,yume,224,0
r05_L,ours_pca8,74,0
r05_L,ours_pca4,117,0
r05_L,ours_pca2,68,0
r05_L,ours_16node,42,0
r05_L,ours_4node,12,0
r05_L,ours_noatok,77,0
r05_L,ours_noadaln,479,0
r05_R,astra,12,0
r05_R,matrixgame,11,0
r05_R,minwm,193,0
r05_R,worldcam,20,0
r05_R,worldplay,12,0
r05_R,yume,79,0
r05_R,ours_pca8,30,0
r05_R,ours_pca4,15,0
r05_R,ours_pca2,12,0
r05_R,ours_16node,39,0
r05_R,ours_4node,27,0
r05_R,ours_noatok,17,0
r05_R,ours_noadaln,98,0
r06_B,astra,871,1
r06_B,matrixgame,9,0
r06_B,minwm,812,1
r06_B,worldcam,1074,1
r06_B,worldplay,33,0
r06_B,yume,385,0
r06_B,ours_pca8,121,0
r06_B,ours_pca4,169,0
r06_B,ours_pca2,255,0
r06_B,ours_16node,231,0
r06_B,ours_4node,271,0
r06_B,ours_noatok,810,1
r06_B,ours_noadaln,347,0
r06_BL,astra,10,0
r06_BL,matrixgame,16,0
r06_BL,minwm,527,0
r06_BL,worldcam,14,0
r06_BL,worldplay,9,0
r06_BL,yume,6,0
r06_BL,ours_pca8,17,0
r06_BL,ours_pca4,12,0
r06_BL,ours_pca2,12,0
r06_BL,ours_16node,505,0
r06_BL,ours_4node,9,0
r06_BL,ours_noatok,11,0
r06_BL,ours_noadaln,421,0
r06_BR,astra,17,0
r06_BR,matrixgame,12,0
r06_BR,minwm,290,0
r06_BR,worldcam,10,0
r06_BR,worldplay,11,0
r06_BR,yume,12,0
r06_BR,ours_pca8,334,0
r06_BR,ours_pca4,4,0
r06_BR,ours_pca2,175,0
r06_BR,ours_16node,241,0
r06_BR,ours_4node,89,0
r06_BR,ours_noatok,12,0
r06_BR,ours_noadaln,276,0
r06_F,astra,12,0
r06_F,matrixgame,7,0
r06_F,minwm,586,0
r06_F,worldcam,39,0
r06_F,worldplay,682,1
r06_F,yume,305,0
r06_F,ours_pca8,589,0
r06_F,ours_pca4,453,0
r06_F,ours_pca2,419,0
r06_F,ours_16node,798,1
r06_F,ours_4node,462,0
r06_F,ours_noatok,573,0
r06_F,ours_noadaln,503,0
r06_FL,astra,11,0
r06_FL,matrixgame,15,0
r06_FL,minwm,84,0
r06_FL,worldcam,11,0
r06_FL,worldplay,8,0
